category,query,solution
Special Items,Can I carry musical instruments as baggage on a flight?,"Yes, passengers can carry musical instruments as part of their flight baggage. However, specific guidelines and restrictions apply to ensure the safe transport of these valuable items. Here's what you need to know:

Carry-on instruments

For small musical instruments as carry-on baggage, ensure they comply with our size and weight restrictions for cabin luggage.

You may need to store them in the overhead compartments or under the seat in front of you.

Checked instruments

Larger musical instruments such as cellos, guitars, or larger brass instruments are accepted as checked baggage.

Please inform Air India during the booking process or at least 24-48 hours before departure to arrange for their transportation.

Packaging and protection

Proper packaging and protection are essential to safeguard musical instruments from damage during handling and transport. Use appropriate cases or covers to provide adequate support and cushioning.

Additional information

For comprehensive information on carrying musical instruments, whether as carry-on or checked baggage, and any associated charges, visit our official Special Baggage Page.

Travel with your musical instruments stress-free and create melodies wherever you go with Air India's support and care. "
Special Items,Can I request special handling of my baggage with fragile items?,"Yes, you can request special handling of your baggage if it contains fragile items. Air India recognises the importance of carefully handling delicate and valuable items during travel. Here is what you need to know:

Inform in advance

If your baggage contains fragile items, it is essential to inform us during the booking process or at least 24 to 48 hours before the flight’s departure. Providing advanced notice allows us to make necessary arrangements for special handling.

Packaging and labelling

Proper packaging is crucial to protect fragile items during handling and transport. Ensure that each fragile item is securely wrapped in cushion to prevent damage. Clearly label baggage as 'Fragile' to alert our staff and handlers.

Special baggage handling

Air India's staff are trained to handle fragile items with care. Fragile-tagged baggage is typically given special attention during loading and unloading.

Carry-on option

Consider taking highly delicate and valuable items as carry-on baggage, provided they meet the size and weight restrictions applicable for cabin luggage.

Additional information

Air India's commitment to special handling helps ensure that your fragile items are treated with the utmost care and attention throughout the journey.

Travel with peace of mind, knowing that your fragile items are in safe hands with Air India's dedicated handling services. "
Special Items,Can I check in a box as baggage instead of a suitcase?,"Yes, you are allowed to carry a box instead of a suitcase as baggage on Air India flights, but this depends on various criteria such as:"
Silver Edge Club,How do I become a Silver Edge Club member if I am already a Flying Returns member?,"A member who earns 25,000 Flying Returns points within the same year will automatically get upgraded to the Silver Edge Club.

 "
Silver Edge Club,How can I get more information about the Silver Edge Club?,"For any queries on Silver Edge club click here. Alternatively, you can speak to one of our agents at 1860-233-1407."
Silver Edge Club,Do I need to submit any form to become a Silver Edge Club member?,"No, you do not need to fill out any forms. To become a Silver Edge Club member, you must be a Flying Returns member and earn 25000 tier status points within the same year.  "
Silver Edge Club,How do I know if I have become a member of the Silver Edge Club?,You will receive a welcome email at your registered email and a special kit with your membership invitation containing a personalised Silver Edge Club membership card for you to flaunt your exclusive status.
Silver Edge Club,"When I become a member of the Silver Edge Club, do I get a new membership number?","No, the membership number for Silver Edge Club will be the same as assigned when you enrol under the Flying Returns programme. "
Silver Edge Club,How does Silver Edge Club differ from Flying Returns membership?,You can elevate your flying experience by joining the Silver Edge Club and experience additional benefits. The benefits include:
Silver Edge Club,How long will my Silver Edge Club membership be valid?,"Silver Edge Club status will be valid for one year from the date of obtaining the membership. On collecting 50,000 Flying Returns points within one year of their Silver Edge Club membership, you will be eligible for Golden Edge Club membership. In such a case, your Silver Edge Club membership will lapse."
Golden Edge Club,"As a Flying Returns member, how do I upgrade to the Golden Edge Club?",Flying Returns members with 50000 tier status points in their account for over a year are Golden Edge Club members by default.
Golden Edge Club,Where can I know more about the Golden Edge Club?,"For any queries on The Golden Edge Club click here. Alternatively, you can speak to one of our agents at 1860-233-1407."
Golden Edge Club,How to know if I qualify as a Golden Edge Club member?,"Any Flying Returns members with 50000 tier status points in their account for over a year are Golden Edge Club members by default. They will receive a welcome mail on their registered email, a membership kit containing a personalised Golden Edge Club membership card, two upgrade vouchers on domestic travel for self, and four baggage tags will be sent to their registered address."
Golden Edge Club,Do I have to fill out any forms to become a Golden Edge Club member?,"No. Once you qualify, you do not have to submit any forms to be a Golden Edge Club member."
Golden Edge Club,What should I do to be invited to the club if I am yet to qualify?,You need to increase your travel frequency on Air India and Star Alliance member airlines to meet the points criteria to qualify as a Golden Edge Club member. Any Flying Returns members with 50000 tier status points in their account for over a year are Golden Edge Club members by default.
Golden Edge Club,Is the criteria for Flying Returns points required to qualify for the Golden Edge Club subject to change?,Yes. The count criteria for eligibility to the Golden Edge Club may be revised by Air India as deemed necessary.
Golden Edge Club,Do I get a new membership number when I become a Golden Edge Club member?,No. Your membership number will be the same as assigned to you when you enrolled under the Flying Returns membership programme. 
Golden Edge Club,How is the Golden Edge Club different from the regular Flying Returns membership?,The Golden Edge Club members enjoy several high-end benefits and special services from Air India. 
Golden Edge Club,What is the validity of my Golden Edge Club membership?,"The Golden Edge Club membership is valid for 12 months from the date of entry into the club, or until you attain 50000 Flying Returns tier status points, making you eligible for The Maharaja Club, whichever is earlier."
Maharaja Club,"As a Flying Returns member, how do I upgrade to the Maharaja Club?","Flying Returns members with 75,000 tier status points in their account for one year become a member of The Maharaja Club by default."
Maharaja Club,Where can I know more about the Maharaja Club?,"For any queries on The Maharaja Club click here. Alternatively, you can speak to one of our agents at 1860-233-1407."
Maharaja Club,How will I know if I have qualified as a member of the Maharaja Club?,"Flying Returns members with 75,000 tier status points in their account for one year become a member of the Maharaja Club by default. They will be notified via registered email, a membership kit containing a personalised the Maharaja Club membership card, three upgrade vouchers on domestic travel for the member, and four baggage tags will be sent to your registered address."
Maharaja Club,Do I have to fill out any forms to become the Maharaja Club member?,"No, once you qualify to be a member of theMaharaja Club, a welcome mail will be sent to your registered email address."
Maharaja Club,What should I do to be invited to the club if I am yet to qualify?,"You need to increase your travel frequency on Air India, Star Alliance member airlines, and codeshare partner airline flights and meet the points criteria to qualify as the Maharaja Club member. Flying Returns members with 75,000 tier status points in their account for one year become a member of The Maharaja Club by default."
Maharaja Club,Is the criteria for Flying Returns points required to qualify for the Maharaja Club subject to change?,"Yes, the count criteria for joining The Maharaja Club may be revised by Air India as deemed necessary."
Maharaja Club,Do I get a new membership number when I become a member of the Maharaja Club?,"No, your membership number will be the same as that assigned to you when you enrolled under the Flying Returns membership programme."
Maharaja Club,How is the Maharaja Club different from the regular Flying Returns membership?,The Maharaja Club (TMC) members enjoy several high-end benefits and special services from Air India. You can click here to get more information on the benefits enjoyed by TMC members.
Maharaja Club,What is the validity of the Maharaja Club membership?,The Maharaja Club membership is valid for 12 months from the date of joining the club.
Family Pool,What is a MeraParivar (My Family Pool)?,"MeraParivar is the name of the family pool programme offered by Air India to its Frequent Flyer Programme members. Family Pooling allows two or more individual members, who are related to each other, to link their accounts. This allows all the accruals in each account to be automatically transferred to the account of the 'Pramukh' or head of family, who can redeem the Flying Returns points."
Family Pool,What is the benefit of creating a family pool?,"Pooling Flying Returns points allows you to combine earned Flying Returns into a single account for easier redemption. Each member will still have a different account number, but they can use miles from the connected accounts when making a redemption. It also allows members with insufficient points or infrequent flying activities to utilise Flying Returns points."
Family Pool,Who can create a family pool? Who is a pramukh (head of family) in a family pool?,"A person holding the position of pramukh has to be an adult who is above 18 years of age and holds membership of the Frequent Flyer Programme. Pramukh is the only one who can request to create a family pool and invite other family members to join a family pool. They are also the only authorised member to redeem points from the pool. The term 'Pramukh' is gender-neutral. The pramukh should have an 'active' account status and a completed profile.

 "
Family Pool,Who is the 'Beneficiary' in a family pool?,Pramukh is the only beneficiary in a family pool.
Family Pool,Who is a 'Contributor' in a family pool?,"All sub-members linked to the family pool, except the pramukh (beneficiary or head of family), are contributors."
Family Pool,Who can join the family pool?,"Pramukh can invite their spouse, parents, their spouse’s parents, siblings, and their spouse's siblings to join the family pool.

The pramukh and each contributor's account - "
Family Pool,How to create a family pool?,"The Air India backend team can create the family pool within 7-14 working days.  

The Pramukh (head of the family) can request to create a family pool by clicking here. The Family Pool will be created only when approval is received from the sub-members."
Family Pool,What details are to be included in the email to create the family pool?,"The pramukh can follow the email template below for a request to create a family pool -

Subject line: Request for Family Pool – Pramukh (membership number) with ____(number) of contributors.

Body: 

Membership ID of pramukh/beneficiary: 
Name of pramukh/beneficiary: 
End date of the Family Pool: 


The ratio of Flying Returns points to be transferred to the family pool- 


(Note - The three options are 100:0, 50:50, and 75:25)

Details of the contributors: 
Contributor-1  
Membership ID: 
Name: 
Relation with pramukh: 
End date of the Family Pool:

Contributor-2 
Membership ID: 
Name: 
Relation with Pramukh: 
End date of the Family Pool:

Note"
Family Pool,How does a sub-member give their consent to be added to the family pool?,"To provide consent to the family pool request sent by the pramukh a sub-member needs to:

A.The subject line - ‘Consent’. 
B. Their membership number. 
C. Relationship with Pramukh. 
D. It should state that they agree to join the family pool and have read all the terms and conditions regarding the family pool on the Air India website. "
Family Pool,What is the split ratio available to the members?,"There are three split ratios available in the family pool:

Note: The selected ratio would apply to all sub-members (contributors)."
Family Pool,What is the Service Fee for creating/joining/modifying the Family Pool?,"Please refer to the following table to learn about all the charges involved in the family pool programme:

No.

Activity

Initiator

Account to be Debited

FR Points Debited

Frequency

1

Flying Returns account activation

Head of Family

Head of Family

1122

Once on 1st Sub-account linking

2

Addition of members by HoF

Head of Family

Head of Family

122

Per Sub-account – on linking

3

Addition of members when the member requests to join a Family Pool

Sub-account

Sub-account

122

Once on linking

4

Delinking of Sub-account post Family Pool account activation

Head of Family

Head of Family

999

Per Sub-member – on delinking

5

Delinking of Sub-account post Family Pool account activation

Sub-member

Sub-member (in case of insufficient points available, then FR points will be debit from Pramukh)

999

Once on delinking

6

Involuntary dissolvement of Family Pool upon demise of HoF

Air India

Head of Family

0

-

7

Delinking upon demise of Sub-member

Head of Family

Head of Family

0

-

8

Voluntary Dissolvement of Family Pool

Air India/Head of Family

Head of Family

1999

Once on dissolvement

9

Voluntary change of Split ratio

Head of Family

Head of Family

3222

Only after 1 year of activation of Family Pool"
Family Pool,Does the pramukh or the sub-members of the family pool head need to be resident Indians?,"No, pramukh and sub-members can be of any nationality or residents of any country, provided they are eligible to join the family pool."
Family Pool,What is the minimum age for joining a family pool?,The minimum age for joining a family pool is two years.
Family Pool,Can infants (under two years of age) join the family pool?,"No, an infant (under two years of age) cannot join a family pool."
Family Pool,Can a child become a sub-member in a family pool?,"Yes, a child between the age of two years and twelve years can join a family pool."
Family Pool,How many sub-members are required to form a family pool?,A minimum of one sub-member is required to create a family pool.
Family Pool,How many members can be part of a family pool?,"A maximum of nine members, including the pramukh, can form a family pool."
Family Pool,How can more members be added once the maximum limit of members is reached?,"There can be a maximum of nine members in a family pool. If a new member needs to be added, the pramukh will have to delink an existing sub-member's account.  
Note: Delinking an account is only possible after one year of joining the family pool. "
Family Pool,What happens if the pramukh invites friends to join the family pool instead of family members or gives false information about the relationship with the sub-members?,Such activity may lead to the suspension of the pramukh's Flying Returns account and losing all or part of their Flying Returns points as per the terms and conditions.
Family Pool,Can a family member who is not a member of Flying Returns be invited to join a family pool?,"No, a family member who is not a member of Flying Returns cannot be invited to join a family pool."
Family Pool,Can an individual be a part of more than one family pool simultaneously?,"No, an individual cannot simultaneously be part of more than one family pool. 
Note: If an individual Flying Returns member attempts to start or join more than one family pool, it may lead to suspension of the member's Flying Returns account and losing all or part of their Flying Returns points."
Family Pool,Can a sub-member be part of two different family pools?,"No, a sub-member cannot be a part of two different family pools."
Family Pool,Can a pramukh of one family pool be a sub-member of another family pool?,"No, a pramukh of one family pool cannot be a sub-member in any other family pool."
Family Pool,What if a sub-member declines an invitation to join the family pool?,"If a member declines the invitation to join a family or does not provide consent, they are not added to the family pool."
Family Pool,How will the members accrue Flying Returns points once they join a family pool?,Accrual of Flying Returns points depends on the split ratio chosen by all the members of the family pool. Members can choose from three split ratios: 
Family Pool,What happens to the spouse-linked account after adding the spouse to the family pool?,"Family Pool has replaced spouse-linked accounts since October 2, 2018. All spouse-linked accounts have been delinked. The Pramukh can add their spouse to the family pool."
Family Pool,Can a member opt for spouse linking instead of Family Pool?,"No, members cannot initiate a spouse-linked account. Instead, a Family Pool can be created, and the spouse can join the Family Pool."
Family Pool,Can a sub-member redeem points from the Family Pool?,"No, a sub-member cannot redeem points from the family pool. The sub-member must request the Pramukh to redeem Flying Returns points."
Family Pool,Can a sub-member redeem Flying Returns points available in another member's account of the same Family Pool?,"No, a sub-meamber cannot redeem Flying Returns points available in another member's account of the same family pool."
Family Pool,Can sub-memabers who belong to the same Family Pool transfer points to each other?,"No, sub-members who belong to the same family pool cannot transfer points to each other. "
Family Pool,Can the Pramukh redeem Flying Returns points available in the sub-members' account?,"No, the Pramukh cannot redeem Flying Returns points available in the sub-members' account."
Family Pool,When will the Flying Returns points in the Family Pool expire?,The rules that apply to the Flying Returns points also apply to the Flying Returns points in a Family Pool.
Family Pool,What rights does the sub-member have regarding the use of the points contributed to the Family Pool?,The Pramukh has the sole authority over the Flying Returns points contributed to the Family Pool. The sub-member must request the Pramukh to redeem the Flying Returns points.
Family Pool,Does the tier of the Pramukh affect the accruals or benefits of other sub-members in the Family Pool?,"No, the tier of the Pramukh does not affect the accruals or benefits of other sub-members in the Family Pool."
Family Pool,Will the Pramukh's tier be upgraded based on the Flying Returns points in the Family Pool?,"No, the Pramukh's tier will not be upgraded based on the Flying Returns points in the Family Pool. The tier status is attained based on the Flying Returns points accrued by a member individually."
Family Pool,Does the tier of a sub-member of a Family Pool have any effect on the accruals of other sub-members in the Family Pool?,"No, the tier of a Family Pool's sub-member does not affect the accruals of other sub-members in the Family Pool."
Family Pool,Will the Pramukh or each Family Pool sub-member get a separate physical Family Pool membership card?,"No, physical Family Pool membership cards will not be issued to the Pramukh or any sub-members."
Family Pool,When does a Family Pool become inactive?,A Family Pool account becomes inactive when:
Family Pool,After how long can the Pramukh delink the sub-members and invite another family member?,"Sub-members can be delinked after they complete one year in the Family Pool. Once the member is delinked, the Pramukh can add another family member. Please note that a maximum of 8 members, excluding the Pramukh, can be a part of the Family Pool."
Family Pool,Do the existing sub-members have to give their consent when Pramukh requests to add a new sub-member?,"No, existing sub-members do not have to give their consent when the Pramukh requests to add a new sub-member."
Family Pool,Can sub-members leave a Family Pool account they had joined earlier?,"Yes, sub-members can opt out of a Family Pool account after completing a year and paying a charge of 999 Flying Return points."
Family Pool,"When a sub-member decides to leave a Family Pool account, will they get back any Flying Returns points?","No, when a sub-member decides to leave a Family Pool account, they will not get any Flying Return points."
Family Pool,What are voluntary and involuntary dissolutions?,"A voluntary dissolution means that the Pramukh has decided to end the Family Pool account. In such a scenario, a dissolution fee of 1999 Flying Return points is levied against the Pramukh’s account. In a scenario where the Pramukh dies, and the spouse does not want to be the new Pramukh, an involuntary dissolution takes place where no dissolution fee is charged."
Family Pool,"If a Family Pool is dissolved voluntarily, what will happen to the points?","If a Family Pool is dissolved voluntarily, after a deduction of 1999 Flying Return points, the remaining points will be equally divided among the sub-members and Pramukh. The points will have a validity of one year."
Family Pool,Can the Pramukh relinquish their post in favour of their spouse or another family member?,"No, the Pramukh cannot relinquish their post in favour of their spouse or another family member."
Family Pool,How can a sub-member exit a Family Pool?,"Any sub-member who wants to exit the Family Pool must send us an exit request. Also, a penalty of 999 Flying Return points will be deducted from the sub-member’s account."
Family Pool,"After giving consent to join a Family Pool, can a sub-member later backtrack on the claim and ask for Flying Return points to be returned?","No, a record of the sub-members giving their consent while joining the Family Pool is available on email. So, there is no possibility of sub-members backtracking on their consent claim."
Family Pool,What happens to a Family Pool if the Pramukh passes away?,"If the Pramukh passes away, the family pool will be dissolved, and the points will be divided equally among the sub-members."
Family Pool,What happens to the Family Pool and the Flying Return points if a sub-member passes away?,"If a sub-member passes away, the individual’s points are transferred to the Pramukh’s account with a validity of one year. The Pramukh should also send a request to Air India to delete the sub-member’s account and submit their death certificate."
Flying Returns Programme Account,How can I check balance points in my account?,You can follow the steps given below to check points in your account. 
Flying Returns Programme Account,How can I change my address in my FFP account?,Please follow the steps given below to change your address in FFP account.
Human Remains,Can I transport cremated ashes on Air India flights? What documents are required?,Cremated human remains can be shipped as funeral urns only. You will require a cremation certificate from the crematorium. 
Human Remains,Can I carry human remains in your aircraft?,"Yes. Human remains can be carried in both domestic and international sectors based on the following requisite documents: 

For domestic sectors: 

The following additional documents are required for the carriage of human remains if the transportation is on international flights of Air India: "
Pets,Can I carry my pet dog on Air India flights?,"Yes, Air India allows you to carry pet dogs/cats as cargo, within India. The acceptance and handling of live animals shall be in accordance with the requirements of the current IATA Live Animals Regulations. The carrier shall accept animal shipments for which there is a confirmation for space and advance arrangements. 

Only those animals which appear to be in good health shall be allowed on flights. 

A health/quarantine certificate from a practising veterinary doctor is also required. For further details, contact the nearest Air India cargo office.  "
Pets,What kind of animals are allowed for carriage on Air India?,"As Air India operates passenger aircraft, it accepts live animals which do not require any special attention during the flight. You must follow certain other restrictions. It should be well under the dimensions of the cargo hold to make sure that the cage fits. For detailed information, please get in touch with your nearest Air India sales office.  "
Pets,Can I send my animals directly to Air India cargo?,Air India cargo works with forwarders specialised in transporting live animals. These freight forwarders comply with all the requirements as depicted in the current edition of IATA Live Animals Regulations. Please contact your freight forwarders for more details. 
Pets,Where will my pet be kept in the aircraft?,"The passenger aircraft operates all our flights. Your animals will be kept in the cargo compartment, which is heated and ventilated adequately (restrictions may apply depending on the aircraft type and the requested routing). "
Pets,Should I tranquilise my pet/animal for the trip?,"Contact the veterinary doctor and provide all the details like flight routing, time of flight, conditions and climate at the destination. Tranquilising can be fatal for animals during the flight."
Pets,What kind of veterinary paperwork (export/transit/import permits) is required?,Documentation varies from country to country of destination and the State of transit. Additional or specific vaccinations may also be required in addition to certifications. Contact your freight forwarders for more details. 
Pets,Should I provide food and water for my animal for the travel time?,Refer to the current edition of IATA Live Animals Regulation for specific instructions. 
Pharma/Temperature-Sensitive Cargo,Do you carry time and temperature-sensitive shipments?,We carry it in all our aircraft and both in passive temperature control mechanism (wherein the shipper is required to put adequate refrigerant for the entire journey) and in active temperature control mechanism (using cool containers). 
Pharma/Temperature-Sensitive Cargo,What are the types of pharmaceutical products carried on AI flights?,"Pharmaceutical products are substances intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease. These products' primary intended use is achieved through chemical or biological action or by being metabolised. Pharmaceutical products can be further subdivided into different categories: "
Pharma/Temperature-Sensitive Cargo,What will be my responsibilities as a shipper for tendering pharmaceuticals?,
Pharma/Temperature-Sensitive Cargo,What temperature ranges are acceptable in AI flights?,"Temperature range

SHC code

Code description

+15°C to +25°C 

CRT

Controlled room temperature

+2°C to +8°C

COL 

Refrigerated

+2°C to +25°C

ERT

Extended room temperature 

Controlled room temperature encompasses the usual and customary working environment of +20°C to +25°C, resulting in a mean kinetic (run) temperature calculated to be not more than +25°C. This allows for divergence up to +30°C.   "
Pharma/Temperature-Sensitive Cargo,How do I calculate the refrigerant required in a package?,The quantity of coolant is calculated based on the time starting from the initial point of insertion (mostly the hub) till it reaches the consignee's hub (where coolant can be replaced). A change in temperature should also be taken into account. Get in touch with the local cargo office to find out whether the option for cold storage is available. 
Pharma/Temperature-Sensitive Cargo,What markings and labels do I use on the package?,"All cargo packages must be labelled with specific 'Time and Temperature-sensitive' label as shown below. The lower half of the label must not be left blank and must indicate the external transportation temperature range of the shipment. At least two labels must be affixed on the alternate side of each package. 

"
Pharma/Temperature-Sensitive Cargo,What is the procedure for transporting pharmaceuticals in cool containers?,AI accepts pharma in cool containers. We have partnered with Envirotainer for the purpose. Contact the cargo office for more details. 
Pharma/Temperature-Sensitive Cargo,What are the timelines for booking Envirotainer containers?,"Note: 

The customer agrees that any seal on the container control unit may need to be broken for battery replacement (for T-type containers only). "
Dangerous Goods,What are Dangerous Goods?,"'Dangerous goods' are articles or substances that can pose a risk to health, safety, property or the environment and which are listed in the technical instructions, or which are classified according to the same guidelines. "
Dangerous Goods,What is AI policy of carriage of Dangerous Goods?,"Transportation of Dangerous Goods (DG) (general cargo, stores/company material COMAT, and others) by air is subject to regulatory compliance, viz., DGCA, AERB as applicable. The regulations for the transportation of all dangerous goods except radioactive materials are based on the recommendations on the Transport of Dangerous Goods - Model Regulations by the UN Subcommittee of Experts on the Transport of Dangerous Goods (UN-SCOETDG). In addition, the recommendations of the International Atomic Energy Agency (IAEA) must determine the regulations for radioactive material.  

Air India Air Operator Permit (AOP) permits Air India to carry the ones categorised as Dangerous Goods. Also, the acceptance and transportation of DG is governed by the State and Operator Variations as defined in the current IATA DGR (Ref. 2.8), which should be referred to mandatorily. For ready reference, the variations of AI as an operator are stipulated in para 11.2 of the Dangerous Goods Management (DGM) for acceptance of Dangerous Goods. The handling procedures for the carriage of DG detailed hereunder are based on the ICAO Annex 18 Technical Instructions, Aircraft Rules 1937 and the latest IATA Dangerous Goods regulations. "
Dangerous Goods,What are the AI variations?,"AI-01: Explosives shall not be carried with the exceptions of items covered under UN 0012 and UN 0014, subject to approval from the Director General of Civil Aviation. 

AI-02 Class 3: Flammable liquids in Packing Group I, are unacceptable for carriage. 

AI-03 Division 4.3: Substances which, in contact with water, emit flammable gases are not accepted for carriage. 

AI-04: Dangerous goods must not be consolidated with non-dangerous goods.

AI-05: Carriage of carbon dioxide solid (dry ice) per aircraft shall be limited to the following:  

1,500 kg on A330-200.

1,200 kg on B747-400 / B777-300ER / B777-200LR.

500 kg on B787-800 / A310 / A350

200 kg on A319 / A320 / A321 / B737-800.

AI-06: A 24-hour emergency telephone number must be provided in the “Handling Information” box of the Shipper’s Declaration and Air Waybill. 

AI-07: Fissile material shall not be accepted for carriage.

AI-08: Not used. 

AI-09: Small vehicles powered by lithium batteries are prohibited for carriage on Air India flights as a part of passenger’s baggage (checked and carry-on); examples include air wheel, solo wheel, hoverboard, mini-segway, and balance wheel. However, it is not limited to these items alone."
Dangerous Goods,What classes/division of dangerous goods are accepted in AI flights?,"Except for the restrictions mentioned in the AI operator variation, all classes/divisions of dangerous goods are accepted for carriage, provided they are listed in Table 4.2 of the IATA DGR. Please contact the local cargo office for further details. "
Perishables,What are perishables?,"Consumable and non-consumable goods with limited shelf life are susceptible to loss and spoilage if not preserved under appropriate conditions. It might lose its inherent properties or essential quality components, due to which it can no longer be used as originally intended. "
Perishables,What type of perishables are accepted in AI aircrafts?,
Perishables,What is the ideal packaging for perishables?,
Perishables,What type of refrigerant is generally used for the transportation of perishables?,"Generally, one of the below refrigerants is used for the transportation of perishables: "
Perishables,Does AI have any restrictions on the carriage of perishables?,We carry all types of perishables.
Wheelchairs,Who qualifies wheelchair assistance? Is there an additional charge?,"Passengers with reduced mobility or those with certified medical conditions can request wheelchair assistance.

Medical officers at Air India will review the medical information submitted with your wheelchair  request  to approve the required resources, a wheelchair and an assistant.

We are committed to making your travel experience as smooth as possible, and wheelchair assistance is free.

Additional information

We highly recommend requesting wheelchairs in advance, either during your flight booking process or at least 48 hours before your scheduled departure. This proactive approach helps avoid last-minute delays or non-availability of wheelchairs."
Wheelchairs,How do I request wheelchair assistance?,"Download and complete a Medical Information Form(opens in a new tab) for passengers requiring special assistance. Parts of this form must be completed and signed by your physician. Submit the completed form online through reservations with a medical certificate detailing your condition.

Please note that the process for approval from our medical officer may take up to 72 hours. In certain regions, including Canada, it might take five working days.

Specify your requirements during booking. When you book your the flight, provide details about the nature of assistance you require during boarding, the flight, and disembarkation. Please specify if you require assistance on steps, at the aircraft entrance, or to get to your seat. This ensures necessary arrangements are made to accommodate your needs."
Wheelchairs,Can I travel with my own wheelchair?,"Yes. For battery-powered wheelchairs (or any battery-powered mobility aid), our team needs to know the number and type of batteries on the device to confirm it is safe for onboard use.

For information on acceptable battery types, please visit our wheelchair assistance page."
Bringing Medical Supplies On Board,Do I need to declare if I am bringing a battery-powered mobility aid or wheelchair on board?,"If you plan to carry your battery-powered mobility aids or wheelchairs on board an Air India flight, here’s what you need to do:

Declaration

Inform us at least 48 hours before your flight to comply with IATA’s Dangerous Goods Regulations. You will need to share the following details:

Number of batteries installed.

Whether the battery is detachable.

Watt-hour (WH) rating of each battery or, if not known, the ampere-hour (AH) rating and voltage.

Carry the manufacturer’s certificate.

Type of batteries allowed

Non-spillable battery: dry, gel-type, or sealed wet battery

Spillable battery: wet battery

Lithium battery: Lithium ion

Battery limitations

Battery on your mobility aid must not exceed 300 WH

For dual batteries, each must not exceed 160 WH.

One spare battery, up to 300 WH, or two spares, up to 160 WH each.

Important notes

Ensure your wheelchair is manoeuvrable through airport areas.

Wheelchair is collected at the aircraft entrance and returned on arrival.

If not returned immediately on arrival, an airline wheelchair will be provided till baggage claim.

Additional information

One mobility aid is carried for free in addition to the baggage allowance.

You will need special permission for mobility aids over 30 kg.

Some airports may check aids into the hold and return on arrival. In such cases, assistance will be provided.

Your comfort and safety matter to us. Complying with these regulations will help us ensure your journey is smooth."
Bringing Medical Supplies On Board,What do I need to do if I require oxygen during the flight?,"If you require oxygen on board an Air India flight, we’re here to guide you through the simple process:

Prerequisite: Passengers needing special services such as oxygen or medical equipment must obtain medical clearance. Air India will provide onboard oxygen, and passengers cannot carry their cylinders.

Procedure: Start by downloading the Medical Information Form(opens in a new tab). Your physician should complete and sign this form. Once ready, please submit it to the nearest Air India office.

Processing: The approval for oxygen requests typically takes up to 72 hours. However, in some locations, including Canada, it may take up to five working days.

Booking: Passengers requiring continuous oxygen supply will be booked exclusively on short-haul, nonstop flights.

Charges: If you are travelling with a medical requirement for an oxygen mask and cylinder, please note that there will be a separate charge. The latest charges for oxygen services are as follows:

An oxygen mask (per unit) is available for INR 22885 or USD 275 (all-inclusive charges). Please note that the charge is for the mask only, which is single-use.

Oxygen cylinders (per bottle) are available separately at INR 4160 or USD 50 (all-inclusive charges) per bottle."
Bringing Medical Supplies On Board,Can you transport a passenger on a stretcher?,"Stretcher services are subject to availability, and bookings are accepted only after clearance from Air India’s medical services department and the chief medical officer.

Stretcher bookings are available for one-way journeys on domestic and international flights, for travel in economy class. Passengers using a stretcher must be accompanied by a non-disabled adult who can attend to their medical needs.

Find out more by contacting your nearest Air India office."
Inflight Health & Wellness,I have dietary restrictions. Can I order special meals that meet my preferences?,"We offer a variety of special meals to accommodate your dietary preferences and restrictions. Select from the following options when booking your flight.

In economy class, special meals are provided on health/medical grounds with at least 48 hours notice. Seafood meal requests are not accepted in economy class.

Bland meal (veg/non-veg): Contains easily digestible soft foods like mashed potatoes, spinach, soft-boiled eggs, and more. Free from spices, onion, garlic, and baked or fried foods.

Diabetic meal (veg/non-veg): Designed for passengers with diabetes, it includes low-salt, low-fat products, high-fibre fruits and vegetables.

Fruit platter: Contains seasonal fruits suitable for fasting or dietary requirements with no additives or preservatives.

Gluten-free meals (veg/non-veg): Ideal for passengers who are intolerant to gluten, includes ingredients like meat, poultry, fish, rice, dairy products, fruits, and vegetables, excluding bread, pasta, cakes, and chocolates.

Lacto-Ovo vegetarian meal: Contains vegetables, fruits, eggs, pulses, and dairy products, without meat or fish.

Low-calorie meal (veg/non-veg): Features high-fibre foods, low in fats and carbohydrates, without sugar, cream, sauces, mayonnaise, or fatty meals.

Low fat/low cholesterol meal (veg/non-veg): Includes items like margarine, cottage cheese, egg whites, lean meats, and whole-grain products, while avoiding high-fat ingredients.

Low sodium meal: Excludes salt, MSG, and baking soda/powder, as well as salty cheese, sauces, dressings, cured meats, and canned fruits.

Non-lactose meal (veg/non-veg): Suitable for passengers allergic or intolerant to milk or milk products, it includes salads, high-fibre foods, pasta, rice, fish/meat, and excludes all milk-based items.

Raw vegetable meal: Comprises mainly of raw vegetables and salads.

Seafood meal: Contains various fish or shellfish types, excluding meat products (not applicable to breakfast).

Vegetarian Oriental meal: Features fruits and vegetables but no meat, fish, eggs, or dairy products, prepared in Chinese/Oriental style.

Additional information

Nuts are served on international flights. If you have nut allergies, bringing your own meal on board is advisable, as Air India cannot be held responsible for allergic reactions you may suffer. You can find out more about our inflight dining experience here."
